id,author,description,clean
896,@bomberx7300,"Boikot itu, buang produk israel yang di stok di store seluruh indonesia,stop pemasukan barang, tutup usahanya , barang yang gak laku di kasih diskon pasti di serbu juga 😂, cuma modal omdo, kalau kaya gitu macam bocil 😂",boikot itu buang produk israel yang di stok di store seluruh indonesiastop pemasukan barang tutup usahanya barang yang gak laku di kasih diskon pasti di serbu juga cuma modal omdo kalau kaya gitu macam bocil
897,@itzie_rbx,Kalau kita stop produksi terus kita makan apa hah aku ngerti itu dukung Israil tapi tdk papa selera orang beda 2,kalau kita stop produksi terus kita makan apa hah aku ngerti itu dukung israil tapi tdk papa selera orang beda
898,@beriyanuswarasiberiwarasi240,"Kebodohan indonesia terletak pada pujian yg begitu tinggi,dan kebodohan ke dua adalah terletak pada fatwa yg dia bikin sendiri dan di mabuk agama.",kebodohan indonesia terletak pada pujian yg begitu tinggidan kebodohan ke dua adalah terletak pada fatwa yg dia bikin sendiri dan di mabuk agama
899,@sigitreyferel1792,Persaingan yang tidak sehat kasihan para karyawannya menguntungkan para kompetitornya,persaingan yang tidak sehat kasihan para karyawannya menguntungkan para kompetitornya
900,@aroraaurora6786,"Lanjutkan... Israel bisa bangga dg kebiadaban nya karena merasa punya pendukung dan kekuasaan, khususnya ekonomi buat bikin senjata pemusnah massal dan bayar media",lanjutkan israel bisa bangga dg kebiadaban nya karena merasa punya pendukung dan kekuasaan khususnya ekonomi buat bikin senjata pemusnah massal dan bayar media
901,@kucingmeonglucu-meowfunnyc183,"Cukup kita beedo\'a ada rezeki kita kirim kan untuk Palestina, kita cinta gk usah berlebihan,, gk ingat yg buat video ini, berapa bnyk akan jadi phk, produk lain akan naik warganya,, klau bisa buat video fikirkan pikirkan saudara kita untuk mencari rezeki. Cepat sadar yg buat video, yg selalu baikot",cukup kita beedoa ada rezeki kita kirim kan untuk palestina kita cinta gk usah berlebihan gk ingat yg buat video ini berapa bnyk akan jadi phk produk lain akan naik warganya klau bisa buat video fikirkan pikirkan saudara kita untuk mencari rezeki cepat sadar yg buat video yg selalu baikot
902,@rifkydarius5532,"Apa sih cuma gr gr dri israel, kalian terlalu ikut campur dgn urusan orng lain. Apalagi begitu rasis nya dgn israel gr gr palestina dibagian gaza dibom, bkn berrti barang yg berasal dri israel kita tdk boleh pakai. Ckckkckckckckk Kasian nya boleh tp tdk dgn sampai bgtu lh",apa sih cuma gr gr dri israel kalian terlalu ikut campur dgn urusan orng lain apalagi begitu rasis nya dgn israel gr gr palestina dibagian gaza dibom bkn berrti barang yg berasal dri israel kita tdk boleh pakai ckckkckckckckk kasian nya boleh tp tdk dgn sampai bgtu lh
903,@vincentvallen1960,"Pffftttt kalau lu memang ada rasa kemanusiaan ga bakalan komen kek orang idiot gini,itu udah bukan urusan agama tapi urusan kemanusiaan ,negara orang yg di genosida,kalau lu di posisi mereka bakaln gimana,kalau pengetahuan masih minim dan juga masih jadi wibu bau bawang mending jangan komen2 deh malah nunjukin ke idiotan lu",pffftttt kalau lu memang ada rasa kemanusiaan ga bakalan komen kek orang idiot giniitu udah bukan urusan agama tapi urusan kemanusiaan negara orang yg di genosidakalau lu di posisi mereka bakaln gimanakalau pengetahuan masih minim dan juga masih jadi wibu bau bawang mending jangan komen deh malah nunjukin ke idiotan lu
904,@rifkydarius5532,"@@vincentvallen1960 kalau tau ini komentar yg idiot ngapain dijwb, sm aj idiot . Semua orng bisa berkomentar dan berpendapat . Ngomongin orng idiot g sdr diri . PAOK Klo kau sipaling kasihan . Udh demo aj kau ke palestina bagian gaza biar di bom",kalau tau ini komentar yg idiot ngapain dijwb sm aj idiot semua orng bisa berkomentar dan berpendapat ngomongin orng idiot sdr diri paok klo kau sipaling kasihan udh demo aj kau ke palestina bagian gaza biar di bom
905,@putraaner5336,👍👍benar kasi boikot setiap barangan israel jgn ada 1 pun yg di jual di dlm negara islam..mulai skrg kita kena belajar guna barang2 buatan kita sendiri..jgn biar kn saudara2 kita di palastin menderita kerana kita..kasi boikot semua barangan israel .,benar kasi boikot setiap barangan israel jgn ada pun yg di jual di dlm negara islammulai skrg kita kena belajar guna barang buatan kita sendirijgn biar kn saudara kita di palastin menderita kerana kitakasi boikot semua barangan israel
906,@calonpegawaiyoutube413,teruslah boikot sampai bapakmu di phk tanpa pesangon..😂😂,teruslah boikot sampai bapakmu di phk tanpa pesangon
907,@calonpegawaiyoutube413,teruslah boikot sampai bapakmu di phk tanpa pesangon..😂😂,teruslah boikot sampai bapakmu di phk tanpa pesangon
908,@bluwerbluwer6407,"cmn Sangar Di awal Aja,,Ntr Gak Boikot Lagi😂 Boikot Kok Pilih2😂Produk Iphone dan Apps Whatsap kok Gak Di Boikot😂😂",cmn sangar di awal ajantr gak boikot lagi boikot kok pilih produk iphone dan apps whatsap kok gak di boikot
909,@faisalhock599,Pokoknya jgn beli produk dri unilefer aja,pokoknya jgn beli produk dri unilefer aja
910,@muhammadaden5541,"Palestina Israel adalah takdir Allah, hanya Allah yng tau kapan palestna Israel berakhir karna Allah sudah menjanjikan untuk palestna dn israel",palestina israel adalah takdir allah hanya allah yng tau kapan palestna israel berakhir karna allah sudah menjanjikan untuk palestna dn israel
911,@fhanisujianto8870,Banyak ternyata brang2 nya😢,banyak ternyata brang nya
912,@ratnaayu-gd2vi,"_""Kelamaan ngandalin Pemerintah, langsung boikot Nastle, Dancow, McDonald\'s dan antek-anteknya...""_",kelamaan ngandalin pemerintah langsung boikot nastle dancow mcdonalds dan antekanteknya
913,@renggasaputra2123,Darimana kita tau itu produk israel?,darimana kita tau itu produk israel
914,@triyatno4628,Maaf palestina barang nya di rumah ku,maaf palestina barang nya di rumah ku
915,@fatimahzahira12,Sprite Coca - cola Iphone Fanta Aqua Dan saya ingin bertanya apakah sabun zen dari zionis,sprite coca cola iphone fanta aqua dan saya ingin bertanya apakah sabun zen dari zionis
916,@Wyn_Vlog,Aqua? Sunleq sma mama lemon produk Japanese sekutunya Israel 😅😅😅😅,aqua sunleq sma mama lemon produk japanese sekutunya israel
917,@ALYACAT74STrCH,"Pembela agama yg satu ini suka main boikot², apakah konsep berfikirnua begitu merespons konflik dunia, BIJAKLAH kalian beragama!",pembela agama yg satu ini suka main boikot apakah konsep berfikirnua begitu merespons konflik dunia bijaklah kalian beragama
919,@posjoker4542,saya sejak 2018 sudah berusaha semampunya sekarang Alhamdulillah sudah banyak yang sadar meskipun ada kontra mari kita hormati pendapat masing2,saya sejak sudah berusaha semampunya sekarang alhamdulillah sudah banyak yang sadar meskipun ada kontra mari kita hormati pendapat masing
920,@skynet4790,"Wah wah parah ini, itu kan produk indonesia",wah wah parah ini itu kan produk indonesia
921,@ramaxnonok2012,"Ambil sisi positifnya aja bree Yah emang bakal banyak pemecatan masal dan banyak pengangguran klo bikot ini berlanjut , TAPI degan ad boikot ini usaha dan brand brand lokal bisa bersaing dan berkembang , sehingga lapangan pekerjaan terbuka lebar , So jgan menyimpulkan sesuatu dari satu sudut pandang , Krn setiap tindakan juga bukan di pilih/di lakukan tanpa ad perkiraan. #FREEPALESTINA #LAKNATISRAEL",ambil sisi positifnya aja bree yah emang bakal banyak pemecatan masal dan banyak pengangguran klo bikot ini berlanjut tapi degan ad boikot ini usaha dan brand brand lokal bisa bersaing dan berkembang sehingga lapangan pekerjaan terbuka lebar so jgan menyimpulkan sesuatu dari satu sudut pandang krn setiap tindakan juga bukan di pilihdi lakukan tanpa ad perkiraan freepalestina laknatisrael
922,@mipol1233,"Yang membuat video terhasut oleh berita hoax tanpa mencari kebenaran nya dulu dan logikanya seperti ini,jika ada produk Israel kenapa ko gak dilarang dari dulu???",yang membuat video terhasut oleh berita hoax tanpa mencari kebenaran nya dulu dan logikanya seperti inijika ada produk israel kenapa ko gak dilarang dari dulu
923,@hambaallah85884,"Yang merk ABC itu juga di boikot mau sarden abc,kecap abc sama aja,mereka dari pabrik Kraft corp",yang merk abc itu juga di boikot mau sarden abckecap abc sama ajamereka dari pabrik kraft corp
924,@adamzaidancandra3363,Kalau produk israel kenapa di impor ke indo,kalau produk israel kenapa di impor ke indo
925,@adamzaidancandra3363,Hei itu semua bukan prduk israel aqua juga bukan ada tulisan bangga buatan indonesia,hei itu semua bukan prduk israel aqua juga bukan ada tulisan bangga buatan indonesia
926,@adamzaidancandra3363,Kalau produk israel napa di impor di indo,kalau produk israel napa di impor di indo
927,@adit8829,"Tpi klo untuk skrng mungkin agak merugikan negara jga, kan barangnya udh bayar tuh, klo boikot ya berarti negara tinggal larang aja produk is real msuk indo",tpi klo untuk skrng mungkin agak merugikan negara jga kan barangnya udh bayar tuh klo boikot ya berarti negara tinggal larang aja produk is real msuk indo
928,@duniarti9260,Semuanya bukan produk dari Israel jangan sok tau semuanya produk dari negara Indonesia,semuanya bukan produk dari israel jangan sok tau semuanya produk dari negara indonesia
929,@DodiDwinanto-gq1gn,Maaf smwnya bukannya MUI ga mengeluarin daftar produk2 yg harus diboikot Jadi keknya peelu dipelajari lagi mana produl asli indonesia ( tanpa prosuk terrafiliasi israel atw sekutunya) dgn produk yerafiliasi israel,maaf smwnya bukannya mui ga mengeluarin daftar produk yg harus diboikot jadi keknya peelu dipelajari lagi mana produl asli indonesia tanpa prosuk terrafiliasi israel atw sekutunya dgn produk yerafiliasi israel
930,@rudysetiawan4903,Sy dukung palestina tp saya tdk mau boikot produk israel di indonesia kenapa banyak rakyat kita yg bekerja di perusahaan itu orang islam juga menyekolahkan anak anaknya dan mencari Nafkah siapa yg bertanggung jawab terhadap kehidupan mereka.,sy dukung palestina tp saya tdk mau boikot produk israel di indonesia kenapa banyak rakyat kita yg bekerja di perusahaan itu orang islam juga menyekolahkan anak anaknya dan mencari nafkah siapa yg bertanggung jawab terhadap kehidupan mereka
931,@RaaEditzz.,Yaelah palingan sm ajamsuk perut jadi tai atau air kencing alay bet,yaelah palingan sm ajamsuk perut jadi tai atau air kencing alay bet
932,@AryaProducton,Bukannya mamalemon dari perusahaan Jepang yah.?,bukannya mamalemon dari perusahaan jepang yah
933,@nurhanah6773,"Mohon maaf sebenarnya tidak harus begitu,karna mengganggu orang kerja,dan coba engkau menjadi penjualnya kalian akan merasakn yang diaraskan,jadi membeli barang tidak harus melihat dari siapa negara yang membuatnya,Dia sudah jalan jauh,hargailah yang menjualnya",mohon maaf sebenarnya tidak harus begitukarna mengganggu orang kerjadan coba engkau menjadi penjualnya kalian akan merasakn yang diaraskanjadi membeli barang tidak harus melihat dari siapa negara yang membuatnyadia sudah jalan jauhhargailah yang menjualnya
934,@user-kb4kv9py2n,Ni orng ngeboikot atau nge promosi sih 😭😭,ni orng ngeboikot atau nge promosi sih
935,@pakcek.7310,PRODUK UNILEVER SMUA BAHHH,produk unilever smua bahhh
936,@retnoahmad1193,Kalo hatinya dah tertutub..janganlah itu makanan dan produk gak punya salah gak punya dosa disangkut pautkan..ngajie kurang jeru....karena itu buat kemasalakatan orang banyak pabriknya jg diindonesia yg kerja jg orang indonesia..yg bersengketa kan di daerah yerusalem...,kalo hatinya dah tertutubjanganlah itu makanan dan produk gak punya salah gak punya dosa disangkut pautkanngajie kurang jerukarena itu buat kemasalakatan orang banyak pabriknya jg diindonesia yg kerja jg orang indonesiayg bersengketa kan di daerah yerusalem
937,@WhyYouLookAtMyProfilePicture,Tapi oreo jajan kesukaan ku :(,tapi oreo jajan kesukaan ku
938,@BORINGEDIT,Sering kadang kadang disuruh emak beli ryko,sering kadang kadang disuruh emak beli ryko
939,@AssifaAzzarah,Free Palestine 🇵🇸🇵🇸🇵🇸,free palestine
940,@hansyadakwah94,Kecap ABC juga dari Israel,kecap abc juga dari israel
941,@user-ok8fi6xp3n,Itu ada juga dari Indonesia liahat aja ada logo halalnya,itu ada juga dari indonesia liahat aja ada logo halalnya
942,@alvimangultom1531,Tolol,tolol
943,@aryadarmaputra10,"Produk Ga salah selagi halal,Yang Salah Manusianya !",produk ga salah selagi halalyang salah manusianya
944,@user-go3qu9qy2j,lebay alay.. banyakan nonton drama,lebay alay banyakan nonton drama
945,@foxtundergems3121,aqua indo bang lu sdm tinkat rendah kah?,aqua indo bang lu sdm tinkat rendah kah
946,@turminimini4896,tpi produk yahudi kok bagus dn bnyak yg cocok,tpi produk yahudi kok bagus dn bnyak yg cocok
947,@adityawira9991,"kecap ABC boikot,coca cola boikot, sprite boikot, kecap Bango boikot,oreo boikot,teh Sariwangi boikot,sunlight boikot, Royco boikot, Nescafe boikot produk Israel semua masih ada lagi masih banyak yang boikot jangan dibeli produk Israel 👎👎🇮🇱🇮🇱",kecap abc boikotcoca cola boikot sprite boikot kecap bango boikotoreo boikotteh sariwangi boikotsunlight boikot royco boikot nescafe boikot produk israel semua masih ada lagi masih banyak yang boikot jangan dibeli produk israel
948,@user-gt3pm6sb7t,"kalau gak beli itu sama dengan perjuangin palestina?? kenapa gak sekalian aja ikut perang jelas menolong... heran sama orang indo kadang""..",kalau gak beli itu sama dengan perjuangin palestina kenapa gak sekalian aja ikut perang jelas menolong heran sama orang indo kadang
949,@beltrandanata4012,Mikir apa warga indonesia ni kocak kocak,mikir apa warga indonesia ni kocak kocak
950,@iinkembar6416,bodoh kali itu kan sama aja,bodoh kali itu kan sama aja
951,@COUNTRYOFINDONESIA,"Abc bukannya produk Israel juga ya? Karena abc dibuat sama pt heinz, dan heinz itu ngedukung israel",abc bukannya produk israel juga ya karena abc dibuat sama pt heinz dan heinz itu ngedukung israel
952,@mahfudianwar3226,itu smya produk UNILEVER kan,itu smya produk unilever kan
953,@Le_Minerale,ABC diboikot bg -_-,abc diboikot bg
954,@RIZKY_2525,Bg kalo gua cerita ke emak gua begini auto indomaret nyah berantakan,bg kalo gua cerita ke emak gua begini auto indomaret nyah berantakan
955,@ibnuseptiyanto,waton,waton
956,@Yazavaboys-ie6yj,"Mending nyumbang sesuatu buat Palestine, acara boikot "" Gitu nda berasa ke Israel, yang ada perusahaan nanti rugi, kawan"" Kita kena Phk yg mumet Pemerintah lagi..",mending nyumbang sesuatu buat palestine acara boikot gitu nda berasa ke israel yang ada perusahaan nanti rugi kawan kita kena phk yg mumet pemerintah lagi
957,@Jeky77,"Bagi saudara2 yg bekerja diproduk produk yg diboikot semoga berlapang dada, banyakin istighfar dan sholat. Anggap aja yg menyeruhkan boikot itu orang2 yg ga punya otak😂",bagi saudara yg bekerja diproduk produk yg diboikot semoga berlapang dada banyakin istighfar dan sholat anggap aja yg menyeruhkan boikot itu orang yg ga punya otak
958,@Sahabat_Cukur,SIAP.,siap
959,@sauttampubolon-fr6iq,Sotoy bener nih produk israel.. Lebih Najisss lo nyari viewer dengan menyebar kebencian atas dasar agama..,sotoy bener nih produk israel lebih najisss lo nyari viewer dengan menyebar kebencian atas dasar agama
961,@iyanbahil6647,"Yg kasihan pedagang karna mereka beli dari agen, dan agen tidak pernah merasa rugi karna mereka tidak ada perjanjian barang yang tidak laku akan diambil agen kembali tapi mereka dianggap beli laku tidak laku itu urusan toko.... Pemerintah lah yang membaikot agar tidak lagi menerima inpor prodak tersebut....",yg kasihan pedagang karna mereka beli dari agen dan agen tidak pernah merasa rugi karna mereka tidak ada perjanjian barang yang tidak laku akan diambil agen kembali tapi mereka dianggap beli laku tidak laku itu urusan toko pemerintah lah yang membaikot agar tidak lagi menerima inpor prodak tersebut
962,@rachelodelia6974,Fitnah kak fitnah,fitnah kak fitnah
