id,author,description
179,@Fath_Gaming,"Slalu tonton channel om Deddy Corbuzier ya guys, dan apapun barang yg di Indonesia sejenis boikot itu gk pengaruh, cukup do\'a kan saudara kita di Palestina klok perlu kita ikut sumbang juga dan GK ush milih2 produk lh, lol pemikiran pendek gini gk patut dicontoh, boikot makanan apapun klok udh halal itu gk masalah, respect juga lh k pedagang, berfikir lh dengan tenang dulu ya guys"
180,@nuncydewi8080,Ngaruh cok coba lu beli banyak banyak sama dengan lu telah ngebunuh saudara kita sendiri
181,@enghtdeswandi9183,"Dah tau israel sama palestina perang, kapan pula produksi kecap wkwkwkwk"
182,@enghtdeswandi9183,"Marketing pun ikut perang wkwkwkwk lucu, lama2 balik ke hutan org wkwkwkwk. Takut nya rumput sama pohon dihutan pun diboikot wkwkwkwkk"
183,@wawanadtmarta1420,Boykot Produk Israel dan Para Pendukungnya serta pegikutnya
184,@user-yf4jw1jn2v,Perasaan hp youtube jg Israel
185,@fantasticfour6926,"Ternyata selama ini tanpa kusadari, aku pakai produk yg tidak membela israel"
186,@yudipramono761,"Preeet, kok nggak yang duitnya gede kayak Google, youtube, Facebook, whatsapp, Microsoft, tolol dipelihara."
187,@rohmaxoem8887,hoaxs
188,@hariatiningsih4106,gua heran .masak indonesia beli product semua diisrael ..kan pembuatanya diindonesia pengolahanya semua wkwkwkwkw lucu amat ini👍👍
189,@ginhenggin6137,"MUI cuma ngasih perintah boikot pruduk israel, tapi nggk berani menutup pabrik atau menutup distributor biar semua produk itu nggk sampe diwarung😂😂 _#benarbenarkocak_"
190,@TundraXCRAFT,Kak Aqua bukan dari Israel tapi dari Prancis kak
191,@mokhaidulkhodarridho9112,Hp mu buang jga sekalaian jgn main internet sma ja km nyumbang bom nuklir😂😂😂
192,@oraURUS666,"sak karepmu,,Ra urusan...😂😂😂"
193,@dwiyuwono4983,Semakin di boikot.. Gue malah pingin memborong... Yang paling penting.. Kebutuhan Gue terpenuhi.. Masa bodo dengan yang memboikot..!!!
194,@amy_4612,Israel babi asu
195,@gevianotristan7915,"Membuat konten tanpa harus berpikir 😅😅 Terserah anda mau beli apa tidak tapi kenapa harus di jadikan konten ? Kreatif dikit kalo membuat konten,apa karena lagi rame perang membuat konten ginian biar rame pengunjung 😅 orang  62 memang latah"
196,@maulanasoni9507,Alhamdulillah w udh boikot
197,@irvanmuchlas7112,"Lanjutkan terus boikot produk"" pro Israel dan NATO...💪💪💪"
198,@farizwahyu5703,Kalo boikot itu juga mikir dukung Palestina wajib tapi jangan merugikan orang yg gak dukung Israel mereka juga nyari nafkah gimanaya warga negarakita ini selalu berkomentar sebelum berbicara siapa aja yg di rugikan jangan selalu yg dilihat sisi bagus nya aja la minimal hadeh hadeh
199,@R1kkkkk,SEJAK KAPAN KECAP BANGO DARI ISRAEL NGADA NGADA
200,@kidawielkasoet5633,PEMBODOHAN untuk orang2 awam yg ga tau menahu soal boikot2 produk israel... kalo cuma modal semangat doank lebih baik diam dan doakan sodara2 kita baik2 di Palestina
201,@carpinapajak5670,"Persaingan bisnis, bijaklah dalam menentukan sikap, harus tau dulu asal usulnya jgan asal boikot bos."
202,@secretdita6000,🤣🤣🤣LAWAKK PLUS NDAK ADA OTAKNYA🤣🤣.. IPHONE MSH DIPAKE DISAYANG2 USTADX JG PAKAI IPHONE🤣🤣🤣🤣... ISRAEL THE KING🇮🇱🇮🇱🇮🇱😘😘😘😘😘😘😘😘😘😘😘😘😘😘🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱
203,@user-rk1tx2mf4u,"Karna boikot akan bnyak pengangguran liat aja nanti,,GK ada baiknya boikot kalau kita saja masih membutuhkannya"
204,@AOppo-lb9nq,kecap bango psncen enak dari yg lain..tp skrng aku ganti kecap sedap sumpah kecap nya gk enak banget..tp demi palestina aku tetep pakek kecap sedap
205,@digdosetyo2832,"Kalau boikot itu ya siapa yg membekingi Israel,bukan produk nya,sama aja kalian mematikan rejeki orang Indonesia yg kerja di pabrik dan pedagang kecil"
206,@fuhendra1520,"hbs nih HP, FB twitter, youtube,tiktok,WA,IG di boikot"
207,@meslianibrsimamora7832,Bodoh .itu hanya marketing dri yg punya produk
208,@LALINA03,Harusnya barangnya yg di stop.. kalo sudah masuk ke toko2 atau warung2 yang ada warung rugi 😅
209,@LinaLinawati-sp4re,Emang itu haram ya 😅😅
210,@untuksemua3750,"Seharusnya yang mulai boikot itu pemerintah dulu, jgn dimasukin produknya ke negara dulu bukannya masyarakat"
