id,author,description,clean
1870,@Rhi-chie,"Fatwa-fatwa MUI khusus diperuntukkan buat umat Muslim. yang lain mah bebas tak ada larangan. kenapa mesti ikut ikutan, Apalagi protes. Katanya paling toleransi dan Pancasilais",fatwafatwa mui khusus diperuntukkan buat umat muslim yang lain mah bebas tak ada larangan kenapa mesti ikut ikutan apalagi protes katanya paling toleransi dan pancasilais
1871,@bagassriindrantoro6807,"Soalnya dimensi nya sudah wilayah rasa Kemanusiaan, Kak Sudah bukan hanya wilayah agama",soalnya dimensi nya sudah wilayah rasa kemanusiaan kak sudah bukan hanya wilayah agama
1872,@Rhi-chie,"@@bagassriindrantoro6807 itu bagus, memang seharusnya begitu. Kalaupun bukan dengan alasan agama, alasan kemanusiaan pun tidak !? Saya yakin setiap agama menyukai perdamaian, dan membenci penjajahan dan pembunuhan. Tinggal realisasi dan komitmen sebagai umat beragama itu sendiri. Islam tidak memaksa yang lain ikut mereka.",itu bagus memang seharusnya begitu kalaupun bukan dengan alasan agama alasan kemanusiaan pun tidak saya yakin setiap agama menyukai perdamaian dan membenci penjajahan dan pembunuhan tinggal realisasi dan komitmen sebagai umat beragama itu sendiri islam tidak memaksa yang lain ikut mereka
1873,@kakrose3027,perjuangan bangsa indonesia terbesar hari ini adalah cukup dgn merungkadkan kaum dobollowi serungkad rungkadnya.itu kerjaan besar yg sangatt mulia,perjuangan bangsa indonesia terbesar hari ini adalah cukup dgn merungkadkan kaum dobollowi serungkad rungkadnyaitu kerjaan besar yg sangatt mulia
1874,@nurilahmad6238,aq kok kepikiran karyawan yg ribuan itu nt nasibnya jek mana yaaa pdhal mereka punya anak ada yg mondok juga sekolah.,aq kok kepikiran karyawan yg ribuan itu nt nasibnya jek mana yaaa pdhal mereka punya anak ada yg mondok juga sekolah
1875,@Ly-ej5up,Ngakak _😂_,ngakak
1876,@ahmadfahrizal379,"Lihat tuh presiden Jokowi memperpanjang Freeport 500 trilyun,jdi sia2 kalian.",lihat tuh presiden jokowi memperpanjang freeport trilyunjdi sia kalian
1877,@itapulumahuny8184,Orang. Ini ga berfikir.main boikot boikot aja.inget yg kerja kalo di phk bagaimana.bisakah kalian menanggung keluarga mereka.anak yg butuh susu.yg butuh biaya sekolah.coba di pikir baik baik,orang ini ga berfikirmain boikot boikot ajainget yg kerja kalo di phk bagaimanabisakah kalian menanggung keluarga merekaanak yg butuh susuyg butuh biaya sekolahcoba di pikir baik baik
1878,@irwansapti18,"kadang pemegang kuasa alias pemegang duit tidak berfikir saudara sendiri yg kerja di distributor mencari nafkah, jika terjadi akankah pemegang kuasa mampu mengganti secuil materi yg sering mereka dapatkan",kadang pemegang kuasa alias pemegang duit tidak berfikir saudara sendiri yg kerja di distributor mencari nafkah jika terjadi akankah pemegang kuasa mampu mengganti secuil materi yg sering mereka dapatkan
1879,@Dada3man,"Saya lbh memilih produk berkualitas ga pandang merek. Jika memang mau boikot pastikan ada produk pengganti memiliki kualitas yg sama, kalau kualitas lbh jelek ogah ganti merek. Semoga supermarket, pedagang2 kecil bsa bertahan saat mereka kesulitan dpt rejeki saat produk dagangan mereka yg diboikot ga laku semoga para penyeru boikot bkan sekedar bersuara utk memboikot tp turut serta memberikan bantuan bg pedagang yg rugi krna aksinya biar ga ada rakyat Indo yg dirugikan",saya lbh memilih produk berkualitas ga pandang merek jika memang mau boikot pastikan ada produk pengganti memiliki kualitas yg sama kalau kualitas lbh jelek ogah ganti merek semoga supermarket pedagang kecil bsa bertahan saat mereka kesulitan dpt rejeki saat produk dagangan mereka yg diboikot ga laku semoga para penyeru boikot bkan sekedar bersuara utk memboikot tp turut serta memberikan bantuan bg pedagang yg rugi krna aksinya biar ga ada rakyat indo yg dirugikan
1880,@sigitsetiadi1199,Masalahny adlh.. klo yg beli produk tsb adlh warung2 atau toko2 Skal kecil gmna.. siapa yg menanggung kerugian itu.. ini akan jadi beban masyRakat juga boss.. buat fTwa halal haram itu mudah aja..dampak panjangnya harus juga di pikir..,masalahny adlh klo yg beli produk tsb adlh warung atau toko skal kecil gmna siapa yg menanggung kerugian itu ini akan jadi beban masyrakat juga boss buat ftwa halal haram itu mudah ajadampak panjangnya harus juga di pikir
1881,@IbnuSuyuthi234,Opo waeee iki....,opo waeee iki
1882,@irwandisanjaya491,"Boikot barang Israel, tp disiarkan di youtube yg ada hub nya dengan Israel.... 😂😂😂😂😂😂😂😂😂",boikot barang israel tp disiarkan di youtube yg ada hub nya dengan israel
1883,@yusufharahap9303,Buat gaduh dalam negri,buat gaduh dalam negri
1884,@NmadanZein-mc9rx,Boikot,boikot
1885,@ImanNu-rn6mh,STOP SEMUA BARANG DARI PRODUK ISRAEL.....tapi Biarkan barang2 yg sudah ada itu laku dulu penjual juga jangan sampai merugi ..itu mata pencaharian mereka,stop semua barang dari produk israeltapi biarkan barang yg sudah ada itu laku dulu penjual juga jangan sampai merugi itu mata pencaharian mereka
1886,@teguhofficialchanel1177,UMKM laaa❤,umkm laaa
1887,@ramachenelrama,"sekalian aja tutup pabrik aqua nya bos biar banyak yg nganggur , konten ga mendidik",sekalian aja tutup pabrik aqua nya bos biar banyak yg nganggur konten ga mendidik
1888,@bangneng956,"Kalau boikot jgn nanggung"" boikot semuanya yg bukan produk indo, apapun itu.",kalau boikot jgn nanggung boikot semuanya yg bukan produk indo apapun itu
1889,@dancenlee4174,"sabun detol ikut israil dak ya , ,,",sabun detol ikut israil dak ya
1890,@alimunzaeed2534,"Semua israel, Indonesia produkmya apa",semua israel indonesia produkmya apa
1891,@Cahsragen.1982,Kirim militer lebih tepat...,kirim militer lebih tepat
1892,@emaaja2931,BOIKOT ini akan berlangsung berkepanjangan hore,boikot ini akan berlangsung berkepanjangan hore
1893,@indahrahma7299,"Parah nih orang, fanatik agama sih boleh saja tapi kan itu produk dari bangsa sendiri, buatan sendiri.. Parah.. Parah..!! Min.. Min..",parah nih orang fanatik agama sih boleh saja tapi kan itu produk dari bangsa sendiri buatan sendiri parah parah min min
1894,@indahrahma7299,"MASA ITU PRODUK ISRAEL..? ITUKAN DARI INDONESIA, INDOFOOD KAN DARI SURABAYA,.. AH.. NGACO MIMIN NIH.. BANGUN.. BANGUN.. PARAH..!",masa itu produk israel itukan dari indonesia indofood kan dari surabaya ah ngaco mimin nih bangun bangun parah
1895,@mochhermanto6263,"Microsoft,youtube,fb,whatshap harap diboikot jg krn prod. USA.......disini kita diuji mn yg munafik mn yg nashuha",microsoftyoutubefbwhatshap harap diboikot jg krn prod usadisini kita diuji mn yg munafik mn yg nashuha
1896,@yudalisa8423,bodo amat..negara muslim yg dekat disana saja tutup mata..,bodo amatnegara muslim yg dekat disana saja tutup mata
1897,@darmawatirahmadi241,Sekecil apapun perjuangan pasti akan bernilai,sekecil apapun perjuangan pasti akan bernilai
1898,@KevinFadilah-jq3py,Ahh taiiii,ahh taiiii
1899,@lesstianr1285,otak sebatas lumpur,otak sebatas lumpur
1900,@arifbudiman8620,sikap yang bijak boikot produk yang mendukung zionis kita masih bisa hidup tanpa produk mereka!!!,sikap yang bijak boikot produk yang mendukung zionis kita masih bisa hidup tanpa produk mereka
1901,@sinagatahuk7462,yakinlah ketika boikot ini berlangsung lama pasti banyak anak anak indonesia yang terlantar juga:) dan pasti persentase pengangguran di indonesia juga   Semangat Negeriku:),yakinlah ketika boikot ini berlangsung lama pasti banyak anak anak indonesia yang terlantar juga dan pasti persentase pengangguran di indonesia juga semangat negeriku
1902,@paksakerah2476,Perlu diketahui yg serukan BOIKOT ini bukan pemerintah . Karena Pemerintah sadar banyak karyawan dan pekerja yg inkamnya tergantung dgn produk produk ini .,perlu diketahui yg serukan boikot ini bukan pemerintah karena pemerintah sadar banyak karyawan dan pekerja yg inkamnya tergantung dgn produk produk ini
1903,@user-iy1ig7ze7y,bantu viralin dan boikot produk zionis israhelll,bantu viralin dan boikot produk zionis israhelll
1904,@dipujirahasia7306,"Ini nih contoh manusia yg otak ny scuil, main larang aja produk pabrik tmpat sesama ny kerja, giliran di PHK smua pgwai pabrik ny , pusing kpla ny soal ny byk buruh pabrik ny yg demo mnta kerjaan😂😂😂😂😂",ini nih contoh manusia yg otak ny scuil main larang aja produk pabrik tmpat sesama ny kerja giliran di phk smua pgwai pabrik ny pusing kpla ny soal ny byk buruh pabrik ny yg demo mnta kerjaan
1905,@suzigohhakim6311,"Setiap kali aku mau ngambil brg atau makanan yg support Israel ,aku batalkan niatku krn aku teringat anak2 yg tdk berdosa jd korban kekejaman zionis israel.😢😢😢,anak2 dan rakyat palestine merek berhak juga utk bahagia😢,hnya krn kerakusan manusia mereka menjadi korban 😢.",setiap kali aku mau ngambil brg atau makanan yg support israel aku batalkan niatku krn aku teringat anak yg tdk berdosa jd korban kekejaman zionis israel anak dan rakyat palestine merek berhak juga utk bahagia hnya krn kerakusan manusia mereka menjadi korban
1906,@farida7599,"perang paliatina udah puluhan tahun, ngapa baru sekarang produk israel di baikot dan di haram kan sama NU. selqma ini kemana. jgn lebay lah.",perang paliatina udah puluhan tahun ngapa baru sekarang produk israel di baikot dan di haram kan sama nu selqma ini kemana jgn lebay lah
1907,@Ahmad-kd4xy,Masa Alloh,masa alloh
1908,@miazdarbuka7146,"Ini mah kebalik yang jeles "" Aqua produk Indonesia coy, lee meneral yang sumber nya ndak jelas, dan produk nya yahidi",ini mah kebalik yang jeles aqua produk indonesia coy lee meneral yang sumber nya ndak jelas dan produk nya yahidi
1909,@compares3704,Goblog,goblog
1910,@qiarafontanecia-dl3dy,Rekamx pake apa yah....,rekamx pake apa yah
1911,@soimso6693,wkwkwkwk,wkwkwkwk
1912,@hajiubay378,Semoga israel hancur dn binasa dri bumi palestin. Mereka hidup di tanah bangsa palestin.oleh karna itu kita berdo\'a smoga israel lenyap dri muka palestin....amiiin ya Allah....,semoga israel hancur dn binasa dri bumi palestin mereka hidup di tanah bangsa palestinoleh karna itu kita berdoa smoga israel lenyap dri muka palestinamiiin ya allah
1913,@mutiaraalhusna6022,Mui bikin sensasi biasa udah jangan ditanggapin serius...biasa lah polituk dagang,mui bikin sensasi biasa udah jangan ditanggapin seriusbiasa lah polituk dagang
1914,@mutiaraalhusna6022,Gausah bingung politik dagang.....gausah pakai tv hp laptop apa ngga bingung mereka....biasa politik dagang segala cara menghancurkan persiangan,gausah bingung politik daganggausah pakai tv hp laptop apa ngga bingung merekabiasa politik dagang segala cara menghancurkan persiangan
1915,@agusginanjar7819,Negara kita subur toh knp pemerintah harus mengimpor barang barang dari negara lain,negara kita subur toh knp pemerintah harus mengimpor barang barang dari negara lain
1916,@AlzenaShezaShanika-ln1xd,Klo sudah fatwa haram kenapa masih di jual dan kenapa pemerintah yg tidak stop ekspor,klo sudah fatwa haram kenapa masih di jual dan kenapa pemerintah yg tidak stop ekspor
1917,@struggle123able,Boikot2 matamu tolol,boikot matamu tolol
1918,@ekogandus7405,"itu barang kan pabriknya di indonesia dan bahan baku lokal karyawanya lokal,, hanya sahamnya orang luar yg punya,,",itu barang kan pabriknya di indonesia dan bahan baku lokal karyawanya lokal hanya sahamnya orang luar yg punya
1919,@user-dn5co1mb2g,😂😂 lucu saja cara anda,lucu saja cara anda
1920,@dexcronicle9813,"mari berhenti pake google ,dan juga yutub yg juga bagian dari google,karena co founder google orang yahudi",mari berhenti pake google dan juga yutub yg juga bagian dari googlekarena co founder google orang yahudi
1921,@ekotriwibowo6995,klo yang udah terlanjur masuk mah gpp di beli asal indonesia jangan import produk apapun lagi dari sana,klo yang udah terlanjur masuk mah gpp di beli asal indonesia jangan import produk apapun lagi dari sana
1922,@HamdaniManahanR46,"PRODUK LOKAL tidak kalah Bagusnya dari pada produk2 yg menyuplai dana ke Israel!!!! Ayo mulai Mencintai Produk2 Lokal, Semakin produk lokal berkembang otomatis akan membuka lapangan pekerjaan diperusahaannya!",produk lokal tidak kalah bagusnya dari pada produk yg menyuplai dana ke israel ayo mulai mencintai produk lokal semakin produk lokal berkembang otomatis akan membuka lapangan pekerjaan diperusahaannya
1923,@user-ye7ck7wf2w,Siap.laksanakan perintah gannti mui,siaplaksanakan perintah gannti mui
1924,@gungdeva56,Bodoh. Yg rugi rakyat kita. Barangnya sudah dibeli yg punya warung.😂😂😂,bodoh yg rugi rakyat kita barangnya sudah dibeli yg punya warung
1925,@dedikbonek0076,omong kosong,omong kosong
1926,@yusufsaeful8838,So tau lue hidup di bikin susah bisa apa kita ....,so tau lue hidup di bikin susah bisa apa kita
1927,@ariwibowo5270,"Menurut saya, tak perlu boikot, pikirkan jg saudara kita yg bekerja di perusahaan produk itu, yg perlu juga menghidupkan keluarganya, dari pd kita memboikot produk,solusi terbaik ialah menyisihkan harta kita, dan kirimlah bantuan pangan untuk saudara kita dipalestina",menurut saya tak perlu boikot pikirkan jg saudara kita yg bekerja di perusahaan produk itu yg perlu juga menghidupkan keluarganya dari pd kita memboikot produksolusi terbaik ialah menyisihkan harta kita dan kirimlah bantuan pangan untuk saudara kita dipalestina
1928,@izroil5175,Menurut saya anda dukung Israel,menurut saya anda dukung israel
1929,@izroil5175,Menurut saya anda dukung Isriwil,menurut saya anda dukung isriwil
